Timestamp,Face ID,Happiness Index
2023-07-21 17:32:30.719641,136-78-53-53-1689940950,[88.62871]
2023-07-21 17:32:30.895049,136-77-53-53-1689940950,[90.090454]
2023-07-21 17:32:33.464946,248-196-263-263-1689940953,[62.467587]
2023-07-21 17:32:33.734572,244-193-266-266-1689940953,[97.995026]
2023-07-21 17:32:34.400584,244-186-273-273-1689940954,[99.00969]
2023-07-21 17:32:34.714893,248-187-269-269-1689940954,[95.134056]
2023-07-21 17:32:34.977000,240-147-284-284-1689940954,[73.956184]
2023-07-21 17:32:35.109042,252-141-267-267-1689940955,[85.221954]
2023-07-21 17:32:35.161048,131-20-53-53-1689940955,[95.26341]
2023-07-21 17:32:35.478157,248-136-275-275-1689940955,[89.93074]
2023-07-21 17:32:35.544155,131-19-53-53-1689940955,[96.0961]
2023-07-21 17:32:35.662994,247-138-272-272-1689940955,[76.181404]
2023-07-21 17:32:35.716537,129-17-53-53-1689940955,[91.75905]
2023-07-21 17:32:35.807243,130-21-53-53-1689940955,[90.86587]
2023-07-21 17:32:35.999236,134-38-53-53-1689940955,[85.45846]
2023-07-21 17:32:36.236288,132-23-53-53-1689940956,[90.88144]
2023-07-21 17:32:36.677208,247-144-281-281-1689940956,[56.649704]
2023-07-21 17:32:36.763217,245-144-279-279-1689940956,[89.83815]
2023-07-21 17:32:36.863960,245-144-279-279-1689940956,[89.83815]
2023-07-21 17:32:36.957129,241-149-284-284-1689940956,[88.7752]
2023-07-21 17:32:37.055519,246-167-281-281-1689940957,[96.46041]
2023-07-21 17:32:37.117201,133-22-53-53-1689940957,[88.395256]
2023-07-21 17:32:37.172207,237-51-53-53-1689940957,[88.02166]
2023-07-21 17:32:37.229721,140-56-53-53-1689940957,[79.86651]
2023-07-21 17:32:37.331819,253-185-273-273-1689940957,[99.92444]
2023-07-21 17:32:37.426378,253-185-273-273-1689940957,[99.92444]
2023-07-21 17:32:37.516913,253-184-271-271-1689940957,[99.89242]
2023-07-21 17:32:37.620189,255-184-276-276-1689940957,[99.84592]
2023-07-21 17:32:37.719713,256-183-272-272-1689940957,[95.58196]
2023-07-21 17:32:38.659983,255-182-275-275-1689940958,[87.80764]
2023-07-21 17:32:38.974019,256-180-280-280-1689940958,[99.30208]
2023-07-21 17:32:39.216879,253-181-278-278-1689940959,[99.634415]
2023-07-21 17:32:39.704537,260-185-270-270-1689940959,[69.087456]
2023-07-21 17:32:39.802101,260-185-270-270-1689940959,[69.087456]
2023-07-21 17:32:39.909906,250-179-282-282-1689940959,[99.39932]
2023-07-21 17:32:40.023950,248-177-285-285-1689940960,[99.35899]
2023-07-21 17:32:40.356307,145-62-53-53-1689940960,[96.31209]
2023-07-21 17:32:40.544757,257-184-274-274-1689940960,[99.800964]
2023-07-21 17:32:40.648021,257-184-274-274-1689940960,[99.800964]
2023-07-21 17:32:40.901367,252-183-276-276-1689940960,[99.7362]
2023-07-21 17:32:41.006386,256-188-270-270-1689940961,[79.065414]
2023-07-21 17:32:41.061383,145-62-53-53-1689940961,[84.30162]
2023-07-21 17:32:30.719641,136-78-53-53-1689940950,88.62870788574219,Satisfied
2023-07-21 17:32:30.895049,136-77-53-53-1689940950,90.0904541015625,Very Happy
2023-07-21 17:32:33.464946,248-196-263-263-1689940953,62.467586517333984,Neutral
2023-07-21 17:32:33.734572,244-193-266-266-1689940953,97.99502563476562,Very Happy
2023-07-21 17:32:34.400584,244-186-273-273-1689940954,99.00968933105469,Very Happy
2023-07-21 17:32:34.714893,248-187-269-269-1689940954,95.1340560913086,Very Happy
2023-07-21 17:32:34.977000,240-147-284-284-1689940954,73.95618438720703,Satisfied
2023-07-21 17:32:35.109042,252-141-267-267-1689940955,85.22195434570312,Satisfied
2023-07-21 17:32:35.161048,131-20-53-53-1689940955,95.26341247558594,Very Happy
2023-07-21 17:32:35.478157,248-136-275-275-1689940955,89.93074035644531,Satisfied
